service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
5056D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
5057L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
5058M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
5059X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
5060J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
5061V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
5062S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
5063D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
5064L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
5065M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
5066X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
5067J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
6037M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
6038X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
6039J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
6040V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
6041S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
6042D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
6043L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
6044M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
6045X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
6046J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
6047V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
6048S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
6049D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
6050L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
6051M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
6052X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
6053J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
6054V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
6055S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
6056D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
6057L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
6058M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
6059X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
6060J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
6061V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
6062S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
6063D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
6064L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
6065M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
6066X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
6067J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
6137M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
6138X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
6139J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
6140V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
6141S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
6142D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
6143L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
6144M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
6145X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
6146J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
6147V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
6148S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
6149D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
6150L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
6151M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
6152X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
6153J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
6154V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
6155S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
6156D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
6157L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
6158M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
6159X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
6160J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
6161V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
6162S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
6163D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
6164L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
6165M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
6166X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
6167J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
6237M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
6238X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
6239J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
6240V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
6241S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
6242D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
6243L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
6244M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
6245X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
6246J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
6247V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
6248S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
6249D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
6250L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
6251M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
6252X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
6253J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
6254V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
6255S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
6256D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
6257L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
6258M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
6259X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
6260J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
6261V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
6262S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
6263D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
6264L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
6265M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
6266X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
6267J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
7037M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
7038X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
7039J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
7040V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
7041S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
7042D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
7043L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
7044M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
7045X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
7046J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
7047V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
7048S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
7049D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
7050L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
7051M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
7052X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
7053J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
7054V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
7055S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
7056D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
7057L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
7058M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
7059X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
7060J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
7061V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
7062S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
7063D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
7064L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
7065M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
7066X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
7067J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
